device_id,device_info,device_type,os,browser,screen,match_status,is_new,is_proxy
SAMSUNG SM-G892A Build/NRD90M | Android 7.0 | samsung browser 6.2 | 2220x1080,SAMSUNG SM-G892A Build/NRD90M,mobile,Android 7.0,samsung browser 6.2,2220x1080,match_status:2,New,
BLN-L24 Build/HONORBLN-L24 | Android 7.0 | chrome 63.0 for android | 1920x1080,BLN-L24 Build/HONORBLN-L24,mobile,Android 7.0,chrome 63.0 for android,1920x1080,match_status:2,New,
Blade V6 Build/LRX22G |  | chrome 63.0 for android | ,Blade V6 Build/LRX22G,mobile,,chrome 63.0 for android,,,Found,
LG-K550 Build/NRD90U | Android 7.0 | chrome 60.0 for android | 1280x720,LG-K550 Build/NRD90U,mobile,Android 7.0,chrome 60.0 for android,1280x720,match_status:2,New,
Windows | Windows 8.1 | chrome 63.0 | 2160x1440,Windows,desktop,Windows 8.1,chrome 63.0,2160x1440,match_status:2,Found,
P00C | Android 7.0 | chrome 61.0 for android | 1280x800,P00C,mobile,Android 7.0,chrome 61.0 for android,1280x800,match_status:2,New,
SM-P600 Build/LMY47X | Android 5.1.1 | chrome 63.0 for android | 2560x1600,SM-P600 Build/LMY47X,mobile,Android 5.1.1,chrome 63.0 for android,2560x1600,match_status:2,Found,
SM-G530H Build/LRX22G |  | chrome 60.0 for android | ,SM-G530H Build/LRX22G,mobile,,chrome 60.0 for android,,,New,
MacOS | Mac OS X 10_13_2 | safari generic | 1152x720,MacOS,desktop,Mac OS X 10_13_2,safari generic,1152x720,match_status:2,New,
LGLS676 Build/MXB48T | Android 6.0.1 | chrome 63.0 for android | 1280x720,LGLS676 Build/MXB48T,mobile,Android 6.0.1,chrome 63.0 for android,1280x720,match_status:2,New,
Windows | Windows 7 | chrome 63.0 | 3441x1440,Windows,desktop,Windows 7,chrome 63.0,3441x1440,match_status:2,Found,
Windows | Windows 7 | chrome 63.0 | 2048x1152,Windows,desktop,Windows 7,chrome 63.0,2048x1152,match_status:2,Found,
SM-G935V Build/NRD90M | Android 7.0 | chrome 60.0 for android | 1920x1080,SM-G935V Build/NRD90M,mobile,Android 7.0,chrome 60.0 for android,1920x1080,match_status:2,New,
iOS Device | iOS 11.2.1 | mobile safari generic | 2208x1242,iOS Device,mobile,iOS 11.2.1,mobile safari generic,2208x1242,match_status:2,Found,
Windows | Windows 10 | firefox | 1920x1200,Windows,desktop,Windows 10,firefox,1920x1200,match_status:2,Found,
SM-N950U Build/NMF26X | Android 7.1.1 | android webview 4.0 | 1920x1080,SM-N950U Build/NMF26X,mobile,Android 7.1.1,android webview 4.0,1920x1080,match_status:2,New,
iOS Device | iOS 11.1.1 | mobile safari uiwebview | 2048x1536,iOS Device,mobile,iOS 11.1.1,mobile safari uiwebview,2048x1536,match_status:2,New,
MacOS | Mac OS X 10_12_1 | chrome 60.0 | 1280x800,MacOS,desktop,Mac OS X 10_12_1,chrome 60.0,1280x800,match_status:2,Found,
SAMSUNG SM-G920F Build/NRD90M |  | samsung browser 6.2 | ,SAMSUNG SM-G920F Build/NRD90M,mobile,,samsung browser 6.2,,,New,
LG-H840 Build/MMB29M |  | chrome 62.0 for android | ,LG-H840 Build/MMB29M,mobile,,chrome 62.0 for android,,,New,
MacOS | Mac OS X 10_12_1 | chrome 62.0 | 1920x1080,MacOS,desktop,Mac OS X 10_12_1,chrome 62.0,1920x1080,match_status:2,Found,
MacOS | Mac OS X 10_11_5 | safari generic | 1920x1200,MacOS,desktop,Mac OS X 10_11_5,safari generic,1920x1200,match_status:2,Found,
MacOS | Mac OS X 10_11_6 | safari generic | 1280x720,MacOS,desktop,Mac OS X 10_11_6,safari generic,1280x720,match_status:2,New,
MacOS | Mac OS X 10_9_5 | chrome 63.0 | 1440x900,MacOS,desktop,Mac OS X 10_9_5,chrome 63.0,1440x900,match_status:2,Found,
LG-H870 Build/NRD90U |  | chrome 63.0 for android | ,LG-H870 Build/NRD90U,mobile,,chrome 63.0 for android,,,Found,
SM-N920T Build/NRD90M | Android 7.0 | chrome 63.0 for android | ,SM-N920T Build/NRD90M,mobile,Android 7.0,chrome 63.0 for android,,match_status:2,Found,
SM-J327T1 Build/NRD90M | Android 7.0 | chrome 63.0 for android | 1280x720,SM-J327T1 Build/NRD90M,mobile,Android 7.0,chrome 63.0 for android,1280x720,match_status:2,New,
MacOS | Mac OS X 10_13_2 | chrome 63.0 | 2048x1152,MacOS,desktop,Mac OS X 10_13_2,chrome 63.0,2048x1152,match_status:2,New,
Lenovo TB-X103F Build/LenovoTB-X103F | Android 6.0.1 | chrome 59.0 for android | 1280x800,Lenovo TB-X103F Build/LenovoTB-X103F,mobile,Android 6.0.1,chrome 59.0 for android,1280x800,match_status:2,Unknown,
MacOS | Mac OS X 10_12_5 | chrome 62.0 | 3840x2400,MacOS,desktop,Mac OS X 10_12_5,chrome 62.0,3840x2400,match_status:2,Found,
SM-J120H Build/LMY47V |  | chrome 56.0 for android | ,SM-J120H Build/LMY47V,mobile,,chrome 56.0 for android,,,Found,
MacOS | Mac | chrome 49.0 | 1440x900,MacOS,desktop,Mac,chrome 49.0,1440x900,match_status:2,Found,
iOS Device | iOS 11.0.0 | mobile safari generic | 2048x1536,iOS Device,mobile,iOS 11.0.0,mobile safari generic,2048x1536,,New,
rv:11.0 | Windows 10 | ie 11.0 for desktop | ,rv:11.0,desktop,Windows 10,ie 11.0 for desktop,,match_status:2,Found,
MacOS | Mac OS X 10_11_6 | chrome | 1920x1200,MacOS,desktop,Mac OS X 10_11_6,chrome,1920x1200,match_status:2,Found,
5080A Build/MRA58K |  | chrome 63.0 for android | ,5080A Build/MRA58K,mobile,,chrome 63.0 for android,,,New,
REVVLPLUS | Android 7.1.1 | chrome 58.0 for android | 1920x1080,REVVLPLUS,mobile,Android 7.1.1,chrome 58.0 for android,1920x1080,match_status:2,Found,
LG-M430 Build/NRD90U | Android 7.0 | chrome 63.0 for android | 1280x720,LG-M430 Build/NRD90U,mobile,Android 7.0,chrome 63.0 for android,1280x720,match_status:2,New,
SM-J701M Build/NRD90M |  | other | ,SM-J701M Build/NRD90M,mobile,,other,,,New,
SM-A520F Build/NRD90M |  | chrome 63.0 for android | ,SM-A520F Build/NRD90M,mobile,,chrome 63.0 for android,,,Found,
SM-J500M Build/MMB29M |  | chrome 63.0 for android | ,SM-J500M Build/MMB29M,mobile,,chrome 63.0 for android,,,New,
MacOS | Mac OS X 10_12_5 | chrome 63.0 | 1920x1080,MacOS,desktop,Mac OS X 10_12_5,chrome 63.0,1920x1080,match_status:2,Found,
XT1060 | Android | chrome 63.0 for android | 1280x720,XT1060,mobile,Android,chrome 63.0 for android,1280x720,match_status:2,Found,
iOS Device | iOS 11.1.1 | mobile safari 9.0 | 2732x2048,iOS Device,mobile,iOS 11.1.1,mobile safari 9.0,2732x2048,match_status:2,New,IP_PROXY:HIDDEN
HUAWEI NXT-L09 Build/HUAWEINXT-L09 |  | chrome 62.0 for android | ,HUAWEI NXT-L09 Build/HUAWEINXT-L09,mobile,,chrome 62.0 for android,,,New,
SM-J510MN Build/MMB29M |  | chrome 63.0 for android | ,SM-J510MN Build/MMB29M,mobile,,chrome 63.0 for android,,,Found,
LenovoA3300-GV Build/JDQ39 |  | chrome 62.0 for android | ,LenovoA3300-GV Build/JDQ39,mobile,,chrome 62.0 for android,,,New,
iOS Device | iOS 11.2.1 | mobile safari generic | 2436x1125,iOS Device,mobile,iOS 11.2.1,mobile safari generic,2436x1125,match_status:2,New,
Lenovo K33b36 Build/MMB29M |  | chrome 62.0 for android | ,Lenovo K33b36 Build/MMB29M,mobile,,chrome 62.0 for android,,,New,
MacOS | Mac OS X 10_6_8 | chrome | 1680x1050,MacOS,desktop,Mac OS X 10_6_8,chrome,1680x1050,match_status:2,Found,
MacOS | Mac OS X 10_12_5 | safari generic | 1680x1050,MacOS,desktop,Mac OS X 10_12_5,safari generic,1680x1050,match_status:2,Found,
LGMS210 Build/NRD90U | Android 7.0 | chrome 63.0 for android | 1280x720,LGMS210 Build/NRD90U,mobile,Android 7.0,chrome 63.0 for android,1280x720,match_status:2,New,
Windows | Windows 7 | chrome 60.0 | 1920x1200,Windows,desktop,Windows 7,chrome 60.0,1920x1200,match_status:2,Found,
MacOS | Mac OS X 10_13_2 | chrome 62.0 | 1280x800,MacOS,desktop,Mac OS X 10_13_2,chrome 62.0,1280x800,match_status:2,Found,
LG-H650 Build/MRA58K |  | chrome 61.0 for android | ,LG-H650 Build/MRA58K,mobile,,chrome 61.0 for android,,,New,
rv:35.0 | Mac OS X 10.9 | firefox | 2560x1600,rv:35.0,desktop,Mac OS X 10.9,firefox,2560x1600,match_status:2,New,
iOS Device | iOS 11.1.0 | mobile safari generic | 2001x1125,iOS Device,mobile,iOS 11.1.0,mobile safari generic,2001x1125,match_status:2,Found,IP_PROXY:TRANSPARENT
KFMEWI | Android 5.1.1 | chrome generic | ,KFMEWI,mobile,Android 5.1.1,chrome generic,,match_status:2,New,
MacOS | Mac OS X 10_7_5 | safari generic | 1280x800,MacOS,desktop,Mac OS X 10_7_5,safari generic,1280x800,match_status:2,New,
SM-G955U1 Build/NRD90M |  | chrome 56.0 for android | ,SM-G955U1 Build/NRD90M,mobile,,chrome 56.0 for android,,,New,
SM-G950U Build/NRD90M | Android 7.0 | chrome 63.0 for android | 2960x1440,SM-G950U Build/NRD90M,mobile,Android 7.0,chrome 63.0 for android,2960x1440,match_status:2,New,
Windows | Windows 7 | firefox generic | 1920x1080,Windows,desktop,Windows 7,firefox generic,1920x1080,match_status:2,Found,IP_PROXY:TRANSPARENT
iOS Device | iOS 10.3.1 | mobile safari generic | 2001x1125,iOS Device,mobile,iOS 10.3.1,mobile safari generic,2001x1125,match_status:2,New,
iOS Device | iOS 11.2.5 | mobile safari 11.0 | 1334x750,iOS Device,mobile,iOS 11.2.5,mobile safari 11.0,1334x750,match_status:1,New,
Le X520 Build/IEXCNFN5902303111S |  | chrome 62.0 for android | ,Le X520 Build/IEXCNFN5902303111S,mobile,,chrome 62.0 for android,,,New,
Lenovo A2016b30 Build/MRA58K |  | chrome 58.0 for android | ,Lenovo A2016b30 Build/MRA58K,mobile,,chrome 58.0 for android,,,New,
SM-G955U Build/NRD90M | Android 7.0 | chrome 63.0 for android | 2961x1442,SM-G955U Build/NRD90M,mobile,Android 7.0,chrome 63.0 for android,2961x1442,match_status:2,New,
Nexus 6P Build/OPR5.170623.014 |  |  | ,Nexus 6P Build/OPR5.170623.014,mobile,,,,,Found,
 | Android | chrome 63.0 | 2560x1600,,mobile,Android,chrome 63.0,2560x1600,match_status:2,New,
LG-M327 Build/NRD90U | Android 7.0 | chrome 56.0 for android | 1280x720,LG-M327 Build/NRD90U,mobile,Android 7.0,chrome 56.0 for android,1280x720,match_status:2,New,
MacOS | Mac OS X 10_11_3 | safari generic | 1366x768,MacOS,desktop,Mac OS X 10_11_3,safari generic,1366x768,match_status:2,Found,
rv:44.0 | Windows 8.1 | firefox | 1366x768,rv:44.0,desktop,Windows 8.1,firefox,1366x768,match_status:2,Found,
MacOS | Mac OS X 10_11_6 | chrome 63.0 | 1366x768,MacOS,desktop,Mac OS X 10_11_6,chrome 63.0,1366x768,match_status:2,Found,
iOS Device | iOS 11.0.3 | mobile safari generic | 2732x2048,iOS Device,mobile,iOS 11.0.3,mobile safari generic,2732x2048,match_status:2,Found,
MacOS | Mac OS X 10_12_6 | chrome 57.0 | 1440x900,MacOS,desktop,Mac OS X 10_12_6,chrome 57.0,1440x900,match_status:2,New,
SAMSUNG-SM-G890A Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2560x1440,SAMSUNG-SM-G890A Build/NRD90M,mobile,Android 7.0,chrome 62.0 for android,2560x1440,match_status:2,Found,IP_PROXY:TRANSPARENT
HTC Desire 650 Build/MMB29M |  | chrome 63.0 for android | ,HTC Desire 650 Build/MMB29M,mobile,,chrome 63.0 for android,,,New,
rv:56.0 | Mac OS X 10.11 | firefox 56.0 | 1680x1050,rv:56.0,desktop,Mac OS X 10.11,firefox 56.0,1680x1050,match_status:2,Found,
Windows | Windows XP | chrome 49.0 | 1366x768,Windows,desktop,Windows XP,chrome 49.0,1366x768,match_status:2,Found,
rv:57.0 | Mac OS X 10.10 | firefox 57.0 | 1920x1200,rv:57.0,desktop,Mac OS X 10.10,firefox 57.0,1920x1200,match_status:2,New,
PSPC550 Build/LMY47D |  | chrome 63.0 for android | ,PSPC550 Build/LMY47D,mobile,,chrome 63.0 for android,,,New,
Windows | Windows 8.1 | chrome 63.0 | 2560x1440,Windows,desktop,Windows 8.1,chrome 63.0,2560x1440,match_status:2,Found,
SM-G930VL Build/NRD90M | Android 7.0 | chrome 63.0 for android | 1920x1080,SM-G930VL Build/NRD90M,mobile,Android 7.0,chrome 63.0 for android,1920x1080,match_status:2,Unknown,
iOS Device | iOS 11.2.1 | mobile safari generic | 2048x1536,iOS Device,mobile,iOS 11.2.1,mobile safari generic,2048x1536,match_status:2,Found,
Trident/7.0 | Windows 10 | ie 11.0 for tablet | 3840x2160,Trident/7.0,desktop,Windows 10,ie 11.0 for tablet,3840x2160,match_status:0,Found,
STV100-3 | Android 6.0.1 | chrome 63.0 for android | 2562x1442,STV100-3,mobile,Android 6.0.1,chrome 63.0 for android,2562x1442,match_status:2,Found,
SAMSUNG SM-N950U1 Build/NMF26X |  | samsung browser 6.2 | ,SAMSUNG SM-N950U1 Build/NMF26X,mobile,,samsung browser 6.2,,,New,
MacOS | Mac OS X 10_11_6 | safari generic | 2304x1440,MacOS,desktop,Mac OS X 10_11_6,safari generic,2304x1440,match_status:2,Found,
rv:57.0 | Mac OS X 10.11 | firefox 57.0 | 4096x2304,rv:57.0,desktop,Mac OS X 10.11,firefox 57.0,4096x2304,match_status:2,New,
SM-A320Y |  | chrome 62.0 for android | ,SM-A320Y,mobile,,chrome 62.0 for android,,,Found,
MacOS | Mac | chrome 63.0 | 2560x1440,MacOS,desktop,Mac,chrome 63.0,2560x1440,match_status:2,New,
SM-G920V Build/MMB29K | Android 6.0.1 | chrome 63.0 for android | 2560x1440,SM-G920V Build/MMB29K,mobile,Android 6.0.1,chrome 63.0 for android,2560x1440,match_status:2,Found,
SAMSUNG SM-A720F Build/NRD90M |  | samsung browser 6.2 | ,SAMSUNG SM-A720F Build/NRD90M,mobile,,samsung browser 6.2,,,New,
LGMS550 Build/NRD90U | Android 7.0 | chrome 63.0 for android | ,LGMS550 Build/NRD90U,mobile,Android 7.0,chrome 63.0 for android,,match_status:2,New,
SM-G355M Build/KOT49H |  | chrome 62.0 for android | ,SM-G355M Build/KOT49H,mobile,,chrome 62.0 for android,,,Unknown,
GT-I9060M Build/KTU84P |  | chrome | ,GT-I9060M Build/KTU84P,mobile,,chrome,,,New,
Windows | Windows 10 | edge 14.0 | 3840x2160,Windows,desktop,Windows 10,edge 14.0,3840x2160,match_status:2,Found,
Windows | Windows 7 | chrome 63.0 | 1280x720,Windows,desktop,Windows 7,chrome 63.0,1280x720,match_status:2,Found,
rv:56.0 | Mac OS X 10.12 | firefox 56.0 | 1680x1050,rv:56.0,desktop,Mac OS X 10.12,firefox 56.0,1680x1050,match_status:2,Found,
Windows |  | edge | ,Windows,desktop,,edge,,match_status:2,New,
M4 SS4451 Build/LMY47D |  | chrome 59.0 for android | ,M4 SS4451 Build/LMY47D,mobile,,chrome 59.0 for android,,,New,
SM-G900M Build/LRX21T |  | chrome 43.0 for android | ,SM-G900M Build/LRX21T,mobile,,chrome 43.0 for android,,,New,
ME173X | Android | chrome 63.0 for android | ,ME173X,mobile,Android,chrome 63.0 for android,,match_status:2,Found,
SM-G955U Build/NRD90M | Android 7.0 | chrome 61.0 for android | ,SM-G955U Build/NRD90M,mobile,Android 7.0,chrome 61.0 for android,,match_status:2,Found,
GT-S7580L Build/JDQ39 |  | chrome 55.0 for android | ,GT-S7580L Build/JDQ39,mobile,,chrome 55.0 for android,,,New,
MacOS | Mac OS X 10_11_6 | other | 1440x900,MacOS,mobile,Mac OS X 10_11_6,other,1440x900,match_status:2,New,
Windows | Windows 10 | chrome 63.0 | 4500x3000,Windows,desktop,Windows 10,chrome 63.0,4500x3000,match_status:2,New,
rv:57.0 | Mac OS X 10.12 | firefox 57.0 | 1600x900,rv:57.0,desktop,Mac OS X 10.12,firefox 57.0,1600x900,match_status:2,Found,
XT1650 Build/NCLS26.118-23-13-3 | Android 7.1.1 | chrome 59.0 for android | 2560x1440,XT1650 Build/NCLS26.118-23-13-3,mobile,Android 7.1.1,chrome 59.0 for android,2560x1440,match_status:2,New,
MacOS | Mac OS X 10_11_5 | safari generic | 1366x768,MacOS,desktop,Mac OS X 10_11_5,safari generic,1366x768,match_status:2,New,
ALCATEL |  | chrome 61.0 for android | ,ALCATEL,mobile,,chrome 61.0 for android,,,New,
SM-G935T Build/NRD90M | Android 7.0 | chrome 63.0 for android | ,SM-G935T Build/NRD90M,mobile,Android 7.0,chrome 63.0 for android,,match_status:2,Found,
NXA116QC164 | Android 5.0 | chrome 63.0 for android | 1366x768,NXA116QC164,mobile,Android 5.0,chrome 63.0 for android,1366x768,match_status:2,Found,
KFSUWI Build/LVY48F |  | chrome generic | ,KFSUWI Build/LVY48F,mobile,,chrome generic,,,New,
Windows | Windows Vista | chrome generic | 1280x1025,Windows,desktop,Windows Vista,chrome generic,1280x1025,match_status:2,New,
MacOS | Mac OS X 10_12_2 | chrome 62.0 | 1280x800,MacOS,desktop,Mac OS X 10_12_2,chrome 62.0,1280x800,match_status:2,New,
HUAWEI Y625-U13 Build/HUAWEIY625-U13 |  | chrome 59.0 for android | ,HUAWEI Y625-U13 Build/HUAWEIY625-U13,mobile,,chrome 59.0 for android,,,New,
SM-G900T Build/MMB29M | Android 6.0.1 | chrome 63.0 for android | 1920x1080,SM-G900T Build/MMB29M,mobile,Android 6.0.1,chrome 63.0 for android,1920x1080,match_status:2,New,
SM-J200M Build/LMY47X |  | chrome 61.0 for android | ,SM-J200M Build/LMY47X,mobile,,chrome 61.0 for android,,,Found,
LG-H840 Build/NRD90U |  | chrome 58.0 for android | ,LG-H840 Build/NRD90U,mobile,,chrome 58.0 for android,,,Found,
Moto Z2 Play Build/NPSS26.118-19-6 |  | chrome 63.0 for android | ,Moto Z2 Play Build/NPSS26.118-19-6,mobile,,chrome 63.0 for android,,,New,
BLL-L23 Build/HUAWEIBLL-L23 |  | chrome 63.0 for android | ,BLL-L23 Build/HUAWEIBLL-L23,mobile,,chrome 63.0 for android,,,New,
Windows | Windows 8.1 | chrome 63.0 | 1200x675,Windows,desktop,Windows 8.1,chrome 63.0,1200x675,match_status:2,New,
HTC | Android | chrome 63.0 for android | 1280x720,HTC,mobile,Android,chrome 63.0 for android,1280x720,match_status:2,Unknown,IP_PROXY:TRANSPARENT
SM-G950U1 Build/NRD90M | Android 7.0 | chrome 58.0 for android | 2220x1080,SM-G950U1 Build/NRD90M,mobile,Android 7.0,chrome 58.0 for android,2220x1080,match_status:2,Found,IP_PROXY:TRANSPARENT
ZTE Blade L5 Build/LMY47I |  | chrome 60.0 for android | ,ZTE Blade L5 Build/LMY47I,mobile,,chrome 60.0 for android,,,New,
SM-G360V | Android | chrome 62.0 for android | 801x480,SM-G360V,mobile,Android,chrome 62.0 for android,801x480,match_status:2,New,
MacOS | Mac OS X 10_12_2 | chrome 61.0 | 1280x800,MacOS,desktop,Mac OS X 10_12_2,chrome 61.0,1280x800,match_status:2,New,
Windows | Windows 7 | chrome 55.0 | 1600x900,Windows,desktop,Windows 7,chrome 55.0,1600x900,match_status:2,New,
SM-T710 Build/NRD90M |  | chrome 63.0 for android | ,SM-T710 Build/NRD90M,mobile,,chrome 63.0 for android,,,Found,
SM-J320M Build/LMY47V |  | chrome 63.0 for android | ,SM-J320M Build/LMY47V,mobile,,chrome 63.0 for android,,,New,
Moto G (4) Build/NPJ25.93-14.7 | Android 7.0 | chrome generic | 1920x1080,Moto G (4) Build/NPJ25.93-14.7,mobile,Android 7.0,chrome generic,1920x1080,match_status:2,New,
SM-J700M Build/LMY48B |  | chrome 55.0 for android | ,SM-J700M Build/LMY48B,mobile,,chrome 55.0 for android,,,Found,
MacOS | Mac | chrome 63.0 | 2880x1800,MacOS,desktop,Mac,chrome 63.0,2880x1800,match_status:2,Found,
rv:52.0 | Mac OS X 10.13 | firefox 52.0 | 1280x800,rv:52.0,desktop,Mac OS X 10.13,firefox 52.0,1280x800,match_status:2,Found,
SM-G925F Build/NRD90M |  | chrome 59.0 for android | ,SM-G925F Build/NRD90M,mobile,,chrome 59.0 for android,,,New,
SAMSUNG | Android 6.0.1 | samsung browser 6.2 | 1920x1080,SAMSUNG,mobile,Android 6.0.1,samsung browser 6.2,1920x1080,match_status:2,Found,
SAMSUNG-SM-G900A Build/LRX21T | Android 5.0 | chrome 63.0 for android | 1920x1080,SAMSUNG-SM-G900A Build/LRX21T,mobile,Android 5.0,chrome 63.0 for android,1920x1080,match_status:2,New,
iOS Device | iOS 11.0.1 | mobile safari generic | 2001x1125,iOS Device,mobile,iOS 11.0.1,mobile safari generic,2001x1125,match_status:2,New,IP_PROXY:TRANSPARENT
AX820 Build/MRA58K |  | chrome 63.0 for android | ,AX820 Build/MRA58K,mobile,,chrome 63.0 for android,,,New,
Windows | Windows Vista | chrome 49.0 | ,Windows,desktop,Windows Vista,chrome 49.0,,match_status:2,Found,
F3113 Build/33.3.A.1.97 |  | chrome 63.0 for android | ,F3113 Build/33.3.A.1.97,mobile,,chrome 63.0 for android,,,Found,
SM-G360M |  | chrome 63.0 for android | ,SM-G360M,mobile,,chrome 63.0 for android,,,New,
QTASUN1 Build/NRD90M | Android 7.0 | chrome 63.0 for android | 1920x1200,QTASUN1 Build/NRD90M,mobile,Android 7.0,chrome 63.0 for android,1920x1200,match_status:2,Found,
V.40R |  | chrome 62.0 for android | ,V.40R,mobile,,chrome 62.0 for android,,,New,
BLU |  | chrome 59.0 for android | ,BLU,mobile,,chrome 59.0 for android,,,Found,
SAMSUNG-SM-G930A Build/NRD90M | Android 7.0 | chrome 63.0 for android | ,SAMSUNG-SM-G930A Build/NRD90M,mobile,Android 7.0,chrome 63.0 for android,,match_status:2,New,
rv:57.0 | Mac OS X 10.10 | firefox 57.0 | 2560x1600,rv:57.0,desktop,Mac OS X 10.10,firefox 57.0,2560x1600,match_status:2,Found,IP_PROXY:TRANSPARENT
iOS Device | iOS 11.2.5 | mobile safari 11.0 | 2224x1668,iOS Device,mobile,iOS 11.2.5,mobile safari 11.0,2224x1668,match_status:1,New,
MALC | Windows 7 | ie 11.0 for desktop | 1280x800,MALC,desktop,Windows 7,ie 11.0 for desktop,1280x800,match_status:2,Found,
SM-J320FN Build/LMY47V |  | chrome 62.0 for android | ,SM-J320FN Build/LMY47V,mobile,,chrome 62.0 for android,,,New,
SM-G928V Build/MMB29K | Android 6.0.1 | chrome 56.0 for android | 2562x1442,SM-G928V Build/MMB29K,mobile,Android 6.0.1,chrome 56.0 for android,2562x1442,match_status:2,New,
Windows | Windows 7 | firefox | 1600x900,Windows,desktop,Windows 7,firefox,1600x900,match_status:2,New,IP_PROXY:HIDDEN
rv:48.0 | Mac OS X 10.12 | firefox 48.0 | 4096x2304,rv:48.0,desktop,Mac OS X 10.12,firefox 48.0,4096x2304,match_status:2,New,
Windows | Windows 7 | chrome 63.0 | 1280x960,Windows,desktop,Windows 7,chrome 63.0,1280x960,match_status:2,New,
Z982 Build/NMF26V | Android 7.1.1 | chrome 62.0 for android | 1920x1080,Z982 Build/NMF26V,mobile,Android 7.1.1,chrome 62.0 for android,1920x1080,match_status:2,New,
MacOS | Mac OS X 10_13_2 | chrome 63.0 | 1680x1050,MacOS,desktop,Mac OS X 10_13_2,chrome 63.0,1680x1050,match_status:2,Found,
HUAWEI VNS-L31 Build/HUAWEIVNS-L31 |  | chrome 63.0 for android | ,HUAWEI VNS-L31 Build/HUAWEIVNS-L31,mobile,,chrome 63.0 for android,,,New,
MacOS | Mac | chrome 62.0 | 1280x720,MacOS,desktop,Mac,chrome 62.0,1280x720,match_status:2,New,
MacOS | Mac OS X 10_11_6 | chrome 63.0 | 2880x1800,MacOS,desktop,Mac OS X 10_11_6,chrome 63.0,2880x1800,match_status:2,Found,
rv:11.0 | Windows 7 | ie 11.0 for desktop | 1280x720,rv:11.0,desktop,Windows 7,ie 11.0 for desktop,1280x720,match_status:2,Found,
MacOS | Mac OS X 10_12_4 | chrome 63.0 | 2560x1440,MacOS,desktop,Mac OS X 10_12_4,chrome 63.0,2560x1440,match_status:2,New,
Windows NT 6.1 | Windows 7 | ie | 1920x1200,Windows NT 6.1,desktop,Windows 7,ie,1920x1200,match_status:2,Found,IP_PROXY:TRANSPARENT
LG-H872 Build/NRD90U | Android 7.0 | chrome 63.0 for android | 2672x1440,LG-H872 Build/NRD90U,mobile,Android 7.0,chrome 63.0 for android,2672x1440,match_status:2,New,
Windows | Windows 10 | chrome 58.0 | 1366x768,Windows,desktop,Windows 10,chrome 58.0,1366x768,match_status:2,Found,
H1711 Build/HUAWEIH1711 | Android 7.0 | chrome 58.0 for android | 1280x720,H1711 Build/HUAWEIH1711,mobile,Android 7.0,chrome 58.0 for android,1280x720,match_status:2,New,
MacOS | Mac OS X 10_12 | safari generic | 1920x1200,MacOS,desktop,Mac OS X 10_12,safari generic,1920x1200,match_status:2,Found,
MacOS | Mac OS X 10_12_6 | safari generic | 1344x756,MacOS,desktop,Mac OS X 10_12_6,safari generic,1344x756,match_status:2,New,
ASUS_Z00ED |  | android webview 4.0 | ,ASUS_Z00ED,mobile,,android webview 4.0,,,New,
Windows | Windows 7 | chrome 49.0 | 1920x1080,Windows,desktop,Windows 7,chrome 49.0,1920x1080,match_status:2,New,
SH-04F |  | chrome | ,SH-04F,mobile,,chrome,,,New,
SM-J327P Build/MMB29M | Android 6.0.1 | other | 1280x720,SM-J327P Build/MMB29M,mobile,Android 6.0.1,other,1280x720,match_status:2,New,
Windows | Windows 10 | chrome 59.0 | 2736x1824,Windows,desktop,Windows 10,chrome 59.0,2736x1824,match_status:1,New,
SM-S903VL | Android 6.0.1 | chrome 63.0 for android | 1920x1080,SM-S903VL,mobile,Android 6.0.1,chrome 63.0 for android,1920x1080,match_status:2,Found,
LG-X180g Build/LMY47I |  | chrome 63.0 for android | ,LG-X180g Build/LMY47I,mobile,,chrome 63.0 for android,,,New,
MacOS | Mac OS X 10_11_6 | chrome 63.0 | 1152x864,MacOS,desktop,Mac OS X 10_11_6,chrome 63.0,1152x864,match_status:2,Unknown,
rv:54.0 | Windows 10 | firefox | 1280x1024,rv:54.0,desktop,Windows 10,firefox,1280x1024,match_status:1,Found,
Windows | Windows 10 | chrome | 1680x1050,Windows,desktop,Windows 10,chrome,1680x1050,match_status:2,New,
SM-J701M Build/NRD90M |  | chrome 63.0 for android | ,SM-J701M Build/NRD90M,mobile,,chrome 63.0 for android,,,New,
TREKKER-X3 Build/MMB29M |  | chrome 63.0 for android | ,TREKKER-X3 Build/MMB29M,mobile,,chrome 63.0 for android,,,New,
BLADE L7 Build/MRA58K |  | chrome 63.0 for android | ,BLADE L7 Build/MRA58K,mobile,,chrome 63.0 for android,,,New,
Nexus 5 Build/M4B30Z |  | chrome 63.0 for android | ,Nexus 5 Build/M4B30Z,mobile,,chrome 63.0 for android,,,New,
Venue | Android 5.0.2 | chrome 63.0 for android | 1280x800,Venue,mobile,Android 5.0.2,chrome 63.0 for android,1280x800,match_status:2,Found,
Windows | Windows 7 | chrome 59.0 | 1280x1024,Windows,desktop,Windows 7,chrome 59.0,1280x1024,match_status:2,New,IP_PROXY:HIDDEN
Windows | Windows 7 | firefox 56.0 | 1280x800,Windows,desktop,Windows 7,firefox 56.0,1280x800,match_status:2,New,
