card_id,customer_id,card_type
C06224-K2,C06224,visa credit
C06228-K1,C06228,mastercard credit
C06240-K1,C06240,american express credit
C06247-K1,C06247,visa credit
C06257-K1,C06257,mastercard debit
C06265-K1,C06265,visa credit
C06269-K1,C06269,mastercard credit
C06279-K1,C06279,mastercard credit
C06299-K1,C06299,mastercard credit
C06303-K1,C06303,visa debit
C06313-K1,C06313,visa debit
C06320-K1,C06320,visa debit
C06324-K1,C06324,visa credit
C06331-K2,C06331,visa debit
C06339-K1,C06339,mastercard credit
C06341-K1,C06341,visa credit
C06343-K1,C06343,mastercard credit
C06348-K1,C06348,visa debit
C06362-K1,C06362,visa credit
C06373-K1,C06373,mastercard credit
C06379-K1,C06379,mastercard credit
C06403-K2,C06403,visa debit
C06420-K1,C06420,visa debit
C06426-K1,C06426,mastercard debit
C06428-K1,C06428,visa debit
C06437-K1,C06437,visa debit
C06438-K1,C06438,mastercard debit
C06443-K1,C06443,visa credit
C06464-K1,C06464,mastercard credit
C06469-K1,C06469,visa credit
C06494-K2,C06494,visa debit
C06511-K1,C06511,american express credit
C06514-K1,C06514,visa debit
C06515-K1,C06515,mastercard credit
C06532-K2,C06532,mastercard debit
C06541-K1,C06541,mastercard debit
C06549-K1,C06549,mastercard debit
C06578-K1,C06578,visa debit
C06582-K2,C06582,mastercard debit
C06588-K1,C06588,visa debit
C06598-K1,C06598,visa credit
C06605-K1,C06605,visa credit
C06606-K1,C06606,visa credit
C06617-K1,C06617,visa debit
C06630-K2,C06630,mastercard credit
C06650-K2,C06650,visa debit
C06655-K1,C06655,mastercard debit
C06657-K1,C06657,visa debit
C06658-K1,C06658,mastercard credit
C06660-K1,C06660,visa credit
C06663-K2,C06663,visa debit
C06669-K1,C06669,mastercard credit
C06677-K1,C06677,american express credit
C06682-K1,C06682,american express credit
C06694-K1,C06694,mastercard debit
C06706-K1,C06706,visa debit
C06707-K1,C06707,nan nan
C06708-K2,C06708,mastercard credit
C06728-K1,C06728,mastercard debit
C06740-K1,C06740,visa debit
C06742-K1,C06742,visa debit
C06744-K2,C06744,visa debit
C06750-K1,C06750,mastercard credit
C06764-K2,C06764,visa debit
C06768-K1,C06768,mastercard debit
C06779-K1,C06779,visa debit
C06788-K1,C06788,american express credit
C06795-K1,C06795,visa debit
C06797-K1,C06797,mastercard debit
C06800-K1,C06800,visa debit
C06811-K1,C06811,mastercard debit
C06818-K1,C06818,visa debit
C06821-K1,C06821,mastercard debit
C06835-K2,C06835,visa debit
C06836-K1,C06836,mastercard debit
C06837-K1,C06837,visa debit
C06840-K1,C06840,mastercard credit
C06851-K1,C06851,visa debit
C06855-K1,C06855,mastercard credit
C06872-K1,C06872,mastercard debit
C06886-K1,C06886,visa credit
C06897-K1,C06897,american express credit
C06898-K1,C06898,mastercard debit
C06899-K1,C06899,visa credit
C06903-K1,C06903,mastercard debit
C06906-K1,C06906,mastercard credit
C06929-K1,C06929,visa credit
C06940-K1,C06940,visa credit
C06942-K2,C06942,mastercard debit
C06947-K2,C06947,visa credit
C06948-K1,C06948,american express credit
C06950-K1,C06950,visa credit
C06954-K1,C06954,visa debit
C06956-K1,C06956,american express credit
C06962-K2,C06962,visa debit
C06979-K1,C06979,visa credit
C06986-K1,C06986,visa debit
C06988-K1,C06988,visa debit
C06991-K1,C06991,visa credit
C06996-K1,C06996,american express credit
C07006-K1,C07006,visa credit
C07027-K1,C07027,mastercard credit
C07033-K1,C07033,visa debit
C07035-K1,C07035,visa credit
C07044-K1,C07044,visa credit
C07050-K1,C07050,visa credit
C07053-K1,C07053,american express credit
C07073-K1,C07073,visa debit
C07076-K1,C07076,mastercard credit
C07086-K1,C07086,visa debit
C07096-K2,C07096,mastercard debit
C07102-K1,C07102,american express credit
C07118-K1,C07118,mastercard debit
C07119-K1,C07119,visa credit
C07130-K1,C07130,mastercard debit
C07134-K2,C07134,mastercard credit
C07149-K2,C07149,visa debit
C07162-K1,C07162,mastercard credit
C07164-K1,C07164,visa credit
C07171-K2,C07171,visa debit
C07180-K1,C07180,visa credit
C07185-K2,C07185,visa debit
C07194-K1,C07194,mastercard credit
C07196-K2,C07196,visa credit
C07204-K1,C07204,mastercard credit
C07210-K1,C07210,visa debit
C07212-K1,C07212,nan nan
C07212-K2,C07212,visa credit
C07215-K1,C07215,visa credit
C07220-K1,C07220,visa credit
C07221-K1,C07221,visa credit
C07223-K1,C07223,american express credit
C07227-K2,C07227,mastercard debit
C07241-K1,C07241,american express credit
C07247-K1,C07247,american express credit
C07253-K1,C07253,mastercard debit
C07256-K2,C07256,visa credit
C07265-K1,C07265,american express credit
C07267-K1,C07267,visa debit
C07270-K1,C07270,visa credit
C07293-K1,C07293,mastercard credit
C07295-K1,C07295,visa credit
C07297-K1,C07297,mastercard debit
C07311-K1,C07311,visa credit
C07336-K1,C07336,visa credit
C07338-K1,C07338,mastercard credit
C07341-K1,C07341,visa debit
C07347-K1,C07347,mastercard debit
C07354-K2,C07354,visa debit
C07356-K1,C07356,visa credit
C07360-K1,C07360,visa debit
C07367-K1,C07367,mastercard debit
C07390-K1,C07390,visa credit
C07391-K1,C07391,visa debit
C07394-K1,C07394,visa debit
C07400-K2,C07400,visa credit
C07434-K1,C07434,visa debit
C07437-K1,C07437,visa debit
C07448-K1,C07448,visa debit
C07452-K1,C07452,american express credit
C07466-K2,C07466,visa credit
C07469-K1,C07469,american express credit
C07470-K1,C07470,visa credit
C07480-K1,C07480,american express credit
C07485-K1,C07485,
C07505-K1,C07505,visa debit
C07508-K2,C07508,mastercard credit
C07513-K1,C07513,mastercard debit
C07518-K2,C07518,visa credit
C07522-K1,C07522,visa debit
C07523-K1,C07523,visa debit
C07531-K1,C07531,american express credit
C07547-K1,C07547,visa credit
C07558-K1,C07558,nan nan
C07558-K2,C07558,visa debit
C07562-K2,C07562,visa credit
C07571-K1,C07571,mastercard debit
C07591-K1,C07591,visa debit
C07602-K1,C07602,mastercard credit
C07605-K1,C07605,visa debit
C07606-K1,C07606,mastercard credit
C07612-K1,C07612,visa credit
C07614-K2,C07614,visa debit
C07615-K1,C07615,mastercard credit
C07628-K1,C07628,mastercard credit
C07632-K1,C07632,visa debit
C07638-K1,C07638,mastercard credit
C07641-K1,C07641,mastercard debit
C07646-K2,C07646,mastercard debit
C07648-K2,C07648,visa debit
C07655-K1,C07655,mastercard credit
C07659-K1,C07659,visa credit
C07671-K2,C07671,mastercard debit
C07673-K1,C07673,american express debit
C07678-K1,C07678,visa credit
C07685-K1,C07685,american express credit
C07686-K1,C07686,mastercard credit
C07687-K1,C07687,american express credit
C07690-K1,C07690,visa credit
C07694-K1,C07694,mastercard debit
C07698-K1,C07698,american express credit
C07703-K2,C07703,visa debit
C07708-K1,C07708,american express credit
C07711-K1,C07711,visa debit
C07717-K1,C07717,mastercard credit
C07729-K1,C07729,visa credit
C07741-K2,C07741,mastercard debit
C07743-K2,C07743,visa debit
C07750-K1,C07750,nan nan
C07750-K2,C07750,visa debit
C07761-K1,C07761,mastercard debit
C07762-K1,C07762,
C07784-K1,C07784,mastercard credit
C07791-K1,C07791,american express credit
C07792-K1,C07792,visa debit
C07794-K1,C07794,visa debit
C07809-K1,C07809,visa debit
C07826-K1,C07826,visa debit
C07840-K1,C07840,visa debit
C07841-K1,C07841,visa debit
C07845-K2,C07845,visa debit
C07847-K2,C07847,visa debit
C07855-K1,C07855,mastercard credit
C07858-K2,C07858,visa debit
C07862-K1,C07862,visa debit
C07867-K2,C07867,mastercard debit
C07870-K2,C07870,mastercard debit
C07871-K1,C07871,visa credit
C07872-K2,C07872,mastercard debit
C07878-K1,C07878,american express credit
C07879-K1,C07879,mastercard credit
C07883-K1,C07883,mastercard debit
C07898-K1,C07898,visa credit
C07901-K1,C07901,visa credit
C07902-K1,C07902,visa debit
C07910-K1,C07910,visa credit
C07919-K2,C07919,visa debit
C07925-K1,C07925,visa credit
C07927-K1,C07927,mastercard debit
C07936-K2,C07936,visa debit
C07944-K1,C07944,visa credit
C07957-K1,C07957,visa credit
C07969-K1,C07969,american express credit
C07973-K1,C07973,visa credit
C07981-K1,C07981,visa credit
C07987-K2,C07987,visa credit
C07990-K1,C07990,mastercard credit
C07993-K1,C07993,american express credit
C07995-K1,C07995,visa credit
C07997-K1,C07997,visa credit
C08011-K1,C08011,american express credit
C08014-K1,C08014,visa debit
C08024-K1,C08024,visa credit
C08040-K1,C08040,american express credit
C08044-K1,C08044,american express debit
C08072-K1,C08072,visa credit
C08075-K1,C08075,visa debit
C08087-K1,C08087,mastercard credit
C08106-K1,C08106,visa debit
C08108-K1,C08108,discover credit
C08111-K1,C08111,visa debit
C08112-K2,C08112,
C08140-K1,C08140,mastercard credit
C08143-K1,C08143,mastercard credit
C08148-K1,C08148,visa debit
C08161-K1,C08161,visa debit
C08186-K1,C08186,visa debit
C08190-K2,C08190,visa credit
C08196-K1,C08196,visa credit
C08198-K1,C08198,american express credit
C08206-K1,C08206,nan nan
C08206-K2,C08206,visa debit
C08222-K1,C08222,mastercard credit
C08226-K1,C08226,visa debit
C08232-K1,C08232,american express credit
C08234-K1,C08234,visa credit
C08250-K1,C08250,visa credit
C08256-K2,C08256,mastercard debit
C08269-K1,C08269,visa debit
C08281-K2,C08281,visa credit
C08288-K1,C08288,visa debit
C08290-K2,C08290,visa credit
C08297-K1,C08297,visa credit
C08299-K1,C08299,visa credit
C08302-K1,C08302,visa credit
C08305-K1,C08305,visa debit
C08315-K1,C08315,american express credit
C08334-K1,C08334,visa debit
C08336-K1,C08336,visa debit
C08338-K1,C08338,american express credit
C08346-K1,C08346,visa credit
C08347-K1,C08347,american express credit
C08348-K1,C08348,visa credit
C08355-K1,C08355,mastercard debit
C08363-K1,C08363,visa credit
C08366-K2,C08366,mastercard credit
C08372-K1,C08372,american express credit
C08374-K1,C08374,mastercard credit
C08375-K1,C08375,mastercard credit
C08381-K1,C08381,visa debit
C08391-K2,C08391,mastercard debit
C08412-K1,C08412,visa credit
C08424-K1,C08424,american express credit
C08438-K1,C08438,visa debit
C08450-K2,C08450,visa debit
C08455-K1,C08455,visa debit
C08458-K1,C08458,visa debit
C08460-K1,C08460,mastercard debit
C08465-K1,C08465,american express credit
C08466-K1,C08466,visa credit
C08474-K1,C08474,mastercard credit
C08477-K1,C08477,visa credit
C08478-K1,C08478,mastercard debit
C08482-K1,C08482,visa debit
C08483-K1,C08483,mastercard credit
C08489-K2,C08489,visa credit
C08494-K1,C08494,american express credit
C08495-K1,C08495,visa debit
C08528-K1,C08528,visa debit
C08540-K1,C08540,visa debit
C08541-K1,C08541,mastercard credit
C08557-K1,C08557,mastercard credit
C08578-K1,C08578,visa debit
C08587-K1,C08587,mastercard credit
C08593-K1,C08593,visa credit
C08595-K1,C08595,mastercard debit
C08597-K2,C08597,mastercard debit
C08605-K1,C08605,mastercard debit
C08610-K1,C08610,mastercard debit
C08611-K1,C08611,visa debit
C08614-K1,C08614,visa debit
C08618-K1,C08618,mastercard debit
C08623-K2,C08623,mastercard credit
C08628-K1,C08628,visa credit
C08632-K1,C08632,american express credit
C08635-K1,C08635,visa debit
C08637-K2,C08637,mastercard debit
C08646-K1,C08646,mastercard debit
C08662-K1,C08662,visa debit
C08675-K1,C08675,american express credit
C08679-K1,C08679,visa credit
C08707-K1,C08707,mastercard debit
C08710-K1,C08710,visa credit
C08723-K1,C08723,mastercard credit
C08727-K1,C08727,mastercard credit
C08737-K1,C08737,mastercard credit
C08741-K1,C08741,visa debit
C08746-K1,C08746,mastercard credit
C08748-K1,C08748,american express credit
C08755-K2,C08755,visa debit
C08761-K1,C08761,visa debit
C08766-K1,C08766,mastercard credit
C08797-K1,C08797,visa debit
C08799-K1,C08799,visa debit
C08807-K1,C08807,visa credit
C08812-K1,C08812,mastercard credit
C08831-K1,C08831,mastercard credit
C08833-K1,C08833,american express credit
C08834-K1,C08834,visa debit
C08840-K1,C08840,mastercard debit
C08841-K1,C08841,mastercard debit
C08842-K2,C08842,visa debit
C08845-K3,C08845,visa debit
C08847-K1,C08847,visa debit
C08850-K1,C08850,american express credit
C08860-K1,C08860,mastercard credit
C08894-K1,C08894,american express credit
C08897-K1,C08897,visa debit
C08905-K1,C08905,visa debit
C08909-K2,C08909,visa debit
C08913-K2,C08913,visa credit
C08915-K1,C08915,mastercard credit
C08917-K1,C08917,american express credit
C08918-K2,C08918,visa credit
C08925-K1,C08925,mastercard debit
C08943-K2,C08943,visa debit
C08944-K1,C08944,visa debit
C08945-K2,C08945,visa debit
C08947-K1,C08947,mastercard debit
C08953-K1,C08953,visa debit
C08962-K2,C08962,mastercard debit
C08965-K1,C08965,american express credit
C08971-K1,C08971,visa credit
C08972-K2,C08972,mastercard debit
C08980-K1,C08980,visa debit
C08989-K2,C08989,visa credit
C08994-K1,C08994,american express credit
C08999-K1,C08999,visa debit
C09007-K1,C09007,visa credit
C09025-K1,C09025,visa credit
C09026-K1,C09026,visa debit
C09040-K1,C09040,visa debit
C09043-K1,C09043,visa credit
C09044-K1,C09044,visa credit
C09047-K1,C09047,mastercard credit
C09055-K1,C09055,mastercard credit
C09063-K1,C09063,visa debit
C09064-K1,C09064,discover debit
C09068-K1,C09068,american express credit
C09071-K1,C09071,mastercard debit
C09073-K1,C09073,visa debit
C09076-K1,C09076,visa credit
C09092-K1,C09092,mastercard debit
C09094-K1,C09094,visa debit
C09117-K1,C09117,visa credit
C09119-K1,C09119,visa credit
C09121-K1,C09121,visa credit
C09141-K1,C09141,visa debit
C09146-K1,C09146,visa debit
C09149-K1,C09149,visa credit
C09154-K1,C09154,visa credit
C09159-K1,C09159,mastercard debit
C09165-K2,C09165,mastercard credit
C09170-K1,C09170,visa debit
C09171-K1,C09171,visa credit
C09173-K1,C09173,mastercard credit
C09174-K1,C09174,mastercard debit
C09196-K1,C09196,visa credit
C09206-K2,C09206,visa credit
C09216-K1,C09216,mastercard credit
C09221-K2,C09221,visa debit
C09231-K1,C09231,american express credit
C09238-K1,C09238,mastercard debit
C09241-K2,C09241,visa debit
C09246-K1,C09246,mastercard credit
C09249-K1,C09249,visa debit
C09251-K1,C09251,visa debit
C09259-K1,C09259,american express credit
C09260-K1,C09260,mastercard credit
C09274-K1,C09274,visa credit
C09279-K1,C09279,mastercard credit
C09280-K1,C09280,mastercard debit
C09283-K1,C09283,visa credit
C09286-K1,C09286,mastercard debit
C09287-K1,C09287,mastercard credit
C09289-K1,C09289,visa debit
C09294-K1,C09294,visa credit
C09296-K1,C09296,visa credit
C09301-K2,C09301,mastercard debit
C09314-K1,C09314,mastercard debit
C09325-K1,C09325,visa credit
C09337-K1,C09337,mastercard credit
C09344-K1,C09344,visa debit
C09350-K1,C09350,mastercard credit
C09353-K1,C09353,mastercard credit
C09354-K1,C09354,mastercard credit
C09359-K1,C09359,mastercard credit
C09359-K2,C09359,mastercard debit
C09363-K1,C09363,nan nan
C09363-K2,C09363,visa debit
C09364-K1,C09364,mastercard credit
C09365-K2,C09365,mastercard debit
C09394-K1,C09394,american express credit
C09420-K2,C09420,visa debit
C09424-K1,C09424,visa debit
C09426-K1,C09426,mastercard credit
C09438-K1,C09438,american express credit
C09442-K1,C09442,american express credit
C09443-K1,C09443,mastercard credit
C09445-K1,C09445,visa debit
C09454-K1,C09454,visa debit
C09456-K1,C09456,american express credit
C09468-K2,C09468,mastercard credit
C09470-K1,C09470,american express credit
C09471-K2,C09471,mastercard debit
C09490-K2,C09490,mastercard debit
C09491-K1,C09491,visa debit
C09500-K1,C09500,mastercard debit
C09508-K1,C09508,visa debit
C09521-K2,C09521,mastercard debit
C09529-K1,C09529,visa credit
C09530-K1,C09530,mastercard debit
C09533-K1,C09533,mastercard credit
C09554-K1,C09554,american express credit
C09557-K1,C09557,visa debit
C09573-K1,C09573,mastercard credit
C09579-K2,C09579,visa credit
C09582-K1,C09582,mastercard debit
C09583-K1,C09583,american express credit
C09586-K2,C09586,mastercard credit
C09601-K1,C09601,visa debit
C09602-K1,C09602,mastercard credit
C09612-K1,C09612,visa credit
C09616-K1,C09616,visa debit
C09631-K1,C09631,visa debit
C09642-K1,C09642,visa debit
C09651-K1,C09651,american express credit
C09657-K2,C09657,visa credit
C09663-K1,C09663,mastercard credit
C09664-K1,C09664,american express credit
C09665-K1,C09665,american express credit
C09666-K2,C09666,visa debit
C09673-K1,C09673,mastercard debit
C09674-K1,C09674,visa credit
C09680-K2,C09680,visa credit
C09681-K1,C09681,american express credit
C09683-K1,C09683,american express credit
C09687-K1,C09687,american express credit
C09691-K1,C09691,visa debit
C09696-K1,C09696,visa debit
C09698-K1,C09698,mastercard debit
C09708-K1,C09708,american express credit
C09719-K1,C09719,american express credit
C09720-K1,C09720,visa debit
C09733-K1,C09733,visa debit
C09735-K1,C09735,visa debit
C09742-K2,C09742,visa credit
C09753-K1,C09753,visa credit
C09757-K1,C09757,visa debit
C09779-K1,C09779,visa credit
C09791-K1,C09791,mastercard credit
C09799-K1,C09799,visa debit
C09800-K1,C09800,nan nan
C09800-K2,C09800,visa debit
C09803-K1,C09803,visa debit
C09804-K1,C09804,visa debit
C09806-K1,C09806,visa debit
C09820-K2,C09820,visa debit
C09823-K1,C09823,visa debit
C09848-K2,C09848,visa credit
C09855-K2,C09855,visa debit
C09858-K1,C09858,visa credit
C09863-K1,C09863,american express credit
C09868-K1,C09868,mastercard credit
C09872-K1,C09872,visa credit
C09873-K1,C09873,visa credit
C09876-K1,C09876,mastercard credit
C09882-K1,C09882,american express credit
C09883-K1,C09883,visa debit
C09884-K1,C09884,visa credit
C09885-K1,C09885,visa debit
C09899-K1,C09899,american express credit
C09900-K1,C09900,visa debit
C09902-K2,C09902,mastercard debit
C09908-K1,C09908,american express credit
C09918-K1,C09918,american express credit
C09927-K1,C09927,mastercard debit
C09933-K2,C09933,visa debit
C09939-K1,C09939,mastercard credit
C09947-K1,C09947,mastercard debit
C09981-K2,C09981,visa debit
C09983-K1,C09983,mastercard credit
C09988-K1,C09988,visa debit
C09997-K1,C09997,visa debit
C09998-K1,C09998,visa debit
C09999-K1,C09999,american express credit
C10010-K1,C10010,mastercard credit
C10016-K2,C10016,visa debit
C10024-K1,C10024,visa credit
C10026-K1,C10026,visa credit
C10032-K2,C10032,visa credit
C10037-K1,C10037,visa debit
C10040-K1,C10040,mastercard credit
C10045-K1,C10045,mastercard credit
C10052-K1,C10052,visa debit
C10055-K1,C10055,visa debit
C10084-K1,C10084,visa debit
C10086-K1,C10086,american express credit
C10092-K1,C10092,visa debit
C10112-K1,C10112,american express credit
C10114-K1,C10114,visa credit
C10127-K2,C10127,visa debit
C10129-K1,C10129,mastercard credit
C10132-K1,C10132,mastercard credit
C10137-K2,C10137,visa debit
C10139-K1,C10139,visa debit
C10149-K1,C10149,mastercard debit
C10158-K1,C10158,mastercard credit
C10164-K1,C10164,mastercard debit
C10165-K1,C10165,visa credit
C10167-K1,C10167,visa credit
C10170-K1,C10170,visa debit
C10193-K2,C10193,visa debit
C10207-K1,C10207,mastercard debit
C10215-K1,C10215,visa debit
C10224-K1,C10224,mastercard credit
C10263-K1,C10263,visa credit
C10264-K1,C10264,visa credit
C10266-K1,C10266,visa credit
C10270-K1,C10270,visa debit
C10273-K1,C10273,american express credit
C10276-K1,C10276,american express credit
C10285-K1,C10285,mastercard credit
C10287-K1,C10287,visa debit
C10295-K1,C10295,american express credit
C10305-K1,C10305,visa credit
C10306-K1,C10306,visa credit
C10308-K1,C10308,mastercard credit
C10320-K1,C10320,visa credit
C10326-K1,C10326,visa debit
C10328-K1,C10328,mastercard debit
C10333-K1,C10333,mastercard debit
C10343-K1,C10343,visa debit
C10344-K2,C10344,mastercard debit
C10346-K1,C10346,american express credit
C10349-K1,C10349,visa credit
C10350-K1,C10350,visa debit
C10364-K1,C10364,visa debit
C10372-K1,C10372,american express credit
C10381-K1,C10381,visa debit
C10383-K2,C10383,mastercard debit
C10388-K1,C10388,mastercard credit
C10390-K1,C10390,mastercard credit
C10399-K1,C10399,visa debit
C10402-K1,C10402,american express credit
C10421-K1,C10421,visa credit
C10422-K2,C10422,mastercard debit
C10426-K1,C10426,visa credit
C10434-K1,C10434,visa credit
C10442-K1,C10442,mastercard debit
C10455-K1,C10455,american express credit
C10456-K1,C10456,visa credit
C10459-K1,C10459,american express credit
C10476-K1,C10476,mastercard credit
C10485-K1,C10485,mastercard debit
C10492-K1,C10492,visa debit
C10496-K1,C10496,mastercard credit
C10502-K1,C10502,american express credit
C10507-K2,C10507,mastercard debit
C10508-K1,C10508,visa credit
C10519-K1,C10519,visa debit
C10520-K1,C10520,american express credit
C10523-K1,C10523,visa credit
C10526-K1,C10526,visa debit
C10553-K1,C10553,visa debit
C10559-K1,C10559,visa debit
C10568-K1,C10568,mastercard debit
C10574-K1,C10574,visa debit
C10578-K1,C10578,american express credit
C10585-K2,C10585,visa credit
C10599-K1,C10599,visa debit
C10601-K1,C10601,mastercard credit
C10614-K1,C10614,american express credit
C10615-K1,C10615,american express credit
C10631-K1,C10631,visa credit
C10632-K1,C10632,mastercard debit
C10634-K1,C10634,mastercard credit
C10639-K1,C10639,mastercard debit
C10644-K1,C10644,mastercard debit
C10678-K1,C10678,visa debit
C10683-K1,C10683,mastercard debit
C10690-K1,C10690,mastercard debit
C10712-K1,C10712,mastercard credit
C10713-K1,C10713,american express credit
C10715-K2,C10715,mastercard debit
C10733-K1,C10733,nan debit
C10736-K1,C10736,visa debit
C10742-K1,C10742,mastercard debit
C10745-K1,C10745,visa debit
C10746-K1,C10746,visa credit
C10752-K1,C10752,visa debit
C10755-K1,C10755,visa credit
C10757-K2,C10757,visa credit
C10760-K2,C10760,visa debit
C10766-K1,C10766,american express credit
C10770-K1,C10770,mastercard debit
C10771-K1,C10771,american express credit
C10780-K1,C10780,visa debit
C10799-K1,C10799,visa debit
C10831-K1,C10831,mastercard debit
C10835-K2,C10835,visa debit
C10837-K2,C10837,visa credit
C10838-K1,C10838,american express credit
C10840-K1,C10840,american express credit
C10843-K1,C10843,mastercard debit
C10849-K1,C10849,american express credit
C10852-K1,C10852,mastercard credit
C10855-K1,C10855,american express credit
C10862-K1,C10862,visa debit
C10866-K1,C10866,mastercard credit
C10871-K1,C10871,american express credit
C10879-K1,C10879,visa credit
C10883-K1,C10883,american express credit
C10890-K1,C10890,visa debit
C10898-K1,C10898,visa credit
C10900-K1,C10900,mastercard credit
C10906-K1,C10906,visa debit
C10924-K2,C10924,visa debit
C10930-K2,C10930,mastercard debit
C10933-K1,C10933,visa credit
C10935-K1,C10935,mastercard debit
C10936-K1,C10936,mastercard credit
C10948-K1,C10948,visa credit
C10955-K2,C10955,mastercard credit
C10957-K2,C10957,visa credit
C10962-K1,C10962,visa debit
C10979-K1,C10979,visa credit
C10983-K1,C10983,visa debit
C10986-K2,C10986,visa debit
C10998-K1,C10998,american express credit
C10999-K1,C10999,american express credit
C11000-K2,C11000,mastercard credit
C11001-K1,C11001,american express credit
C11005-K1,C11005,visa credit
C11008-K1,C11008,mastercard debit
C11010-K1,C11010,visa debit
C11011-K1,C11011,mastercard credit
C11014-K1,C11014,visa debit
C11019-K2,C11019,mastercard debit
C11031-K2,C11031,visa debit
C11032-K2,C11032,discover credit
C11034-K1,C11034,mastercard credit
C11037-K1,C11037,visa debit
C11041-K1,C11041,visa debit
C11053-K1,C11053,mastercard debit
C11055-K1,C11055,american express credit
C11061-K1,C11061,american express credit
C11065-K1,C11065,visa credit
C11080-K1,C11080,visa debit
C11082-K1,C11082,visa credit
C11090-K1,C11090,visa credit
C11092-K2,C11092,visa debit
C11104-K1,C11104,visa credit
C11122-K1,C11122,mastercard credit
C11136-K1,C11136,visa credit
C11143-K1,C11143,mastercard credit
C11148-K1,C11148,mastercard debit
C11156-K1,C11156,mastercard debit
C11158-K1,C11158,visa debit
C11159-K1,C11159,visa credit
C11164-K1,C11164,american express credit
C11173-K1,C11173,visa debit
C11187-K1,C11187,visa debit
C11188-K1,C11188,visa credit
C11190-K1,C11190,american express credit
C11191-K1,C11191,mastercard debit
C11198-K1,C11198,visa debit
C11199-K1,C11199,visa credit
C11201-K1,C11201,mastercard credit
C11204-K1,C11204,mastercard credit
C11213-K1,C11213,visa debit
C11224-K1,C11224,visa credit
C11227-K2,C11227,visa credit
C11230-K2,C11230,mastercard debit
C11232-K1,C11232,mastercard debit
C11237-K1,C11237,american express credit
C11239-K1,C11239,mastercard debit
C11246-K1,C11246,mastercard debit
C11247-K1,C11247,mastercard debit
C11249-K1,C11249,visa debit
C11257-K1,C11257,visa debit
C11265-K1,C11265,visa debit
C11269-K1,C11269,american express credit
C11275-K1,C11275,visa credit
C11291-K1,C11291,visa debit
C11294-K2,C11294,mastercard credit
C11298-K2,C11298,visa debit
C11304-K1,C11304,mastercard credit
C11307-K1,C11307,mastercard debit
C11309-K1,C11309,visa credit
C11319-K1,C11319,american express credit
C11323-K1,C11323,visa credit
C11329-K1,C11329,visa credit
C11332-K1,C11332,mastercard credit
C11335-K1,C11335,visa debit
C11337-K1,C11337,visa debit
C11339-K1,C11339,mastercard debit
C11343-K1,C11343,visa debit
C11348-K1,C11348,american express credit
C11352-K1,C11352,visa credit
C11375-K1,C11375,american express credit
C11381-K2,C11381,mastercard debit
C11388-K1,C11388,american express credit
C11397-K1,C11397,visa debit
C11398-K1,C11398,mastercard debit
C11413-K1,C11413,mastercard credit
C11414-K1,C11414,american express credit
C11416-K2,C11416,visa debit
C11427-K1,C11427,american express credit
C11429-K1,C11429,visa debit
C11436-K1,C11436,mastercard debit
C11444-K1,C11444,mastercard debit
C11458-K1,C11458,mastercard credit
C11460-K1,C11460,mastercard credit
C11461-K1,C11461,mastercard credit
C11464-K2,C11464,visa debit
C11468-K2,C11468,mastercard debit
C11472-K1,C11472,american express credit
C11475-K1,C11475,mastercard credit
C11490-K1,C11490,mastercard credit
C11496-K2,C11496,visa debit
C11500-K1,C11500,mastercard credit
C11509-K2,C11509,mastercard debit
C11513-K1,C11513,visa credit
C11522-K2,C11522,visa credit
C11529-K1,C11529,american express credit
C11533-K2,C11533,visa debit
C11539-K2,C11539,visa credit
C11543-K2,C11543,visa debit
C11554-K1,C11554,visa debit
C11558-K2,C11558,visa debit
C11577-K1,C11577,visa debit
C11586-K1,C11586,american express credit
C11595-K1,C11595,mastercard credit
C11597-K2,C11597,visa credit
C11601-K1,C11601,visa credit
C11609-K1,C11609,american express credit
C11625-K2,C11625,mastercard debit
C11629-K1,C11629,american express credit
C11633-K1,C11633,mastercard credit
C11637-K1,C11637,american express credit
C11642-K1,C11642,visa credit
C11656-K1,C11656,visa debit
C11670-K2,C11670,visa debit
C11682-K1,C11682,visa debit
C11687-K2,C11687,
C11690-K1,C11690,mastercard debit
C11702-K1,C11702,mastercard credit
C11704-K1,C11704,mastercard credit
C11709-K2,C11709,mastercard debit
C11713-K1,C11713,visa debit
C11716-K1,C11716,mastercard debit
C11730-K1,C11730,mastercard debit
C11743-K2,C11743,mastercard debit
C11747-K1,C11747,visa debit
C11749-K1,C11749,american express credit
C11750-K1,C11750,visa debit
C11762-K1,C11762,visa debit
C11780-K1,C11780,visa debit
C11783-K2,C11783,mastercard credit
C11787-K1,C11787,mastercard credit
C11790-K1,C11790,mastercard debit
C11792-K1,C11792,visa credit
C11798-K1,C11798,american express credit
C11807-K1,C11807,mastercard credit
C11842-K1,C11842,mastercard credit
C11844-K2,C11844,visa credit
C11847-K2,C11847,visa credit
C11852-K1,C11852,mastercard credit
C11855-K1,C11855,american express credit
C11859-K1,C11859,visa credit
C11865-K1,C11865,visa credit
C11866-K1,C11866,mastercard debit
C11871-K1,C11871,visa debit
C11873-K2,C11873,mastercard debit
C11889-K2,C11889,mastercard debit
C11890-K1,C11890,visa debit
C11891-K1,C11891,mastercard credit
C11898-K1,C11898,visa debit
C11906-K1,C11906,visa debit
C11915-K1,C11915,visa debit
